Date Time, Water Level, Sigma, O, F, R, L, Quality 
2018-11-18 20:42,0.673,0.010,1,0,0,0,p
2018-11-18 20:48,0.676,0.010,1,0,0,0,p
2018-11-18 20:54,0.696,0.010,0,0,0,0,p
2018-11-18 21:00,0.712,0.010,1,0,0,0,p
2018-11-18 21:06,0.722,0.013,0,0,0,0,p
2018-11-18 21:12,0.728,0.010,1,0,0,0,p
2018-11-18 21:18,0.741,0.010,1,0,0,0,p
2018-11-18 21:24,0.755,0.010,0,0,0,0,p
2018-11-18 21:30,0.758,0.013,1,0,0,0,p
2018-11-18 21:36,0.771,0.010,1,0,0,0,p
2018-11-18 21:42,0.781,0.013,1,0,0,0,p
2018-11-18 21:48,0.781,0.010,1,0,0,0,p
2018-11-18 21:54,0.810,0.010,0,0,0,0,p
2018-11-18 22:00,0.810,0.010,0,0,0,0,p
2018-11-18 22:06,0.810,0.010,0,0,0,0,p
2018-11-18 22:12,0.823,0.010,0,0,0,0,p
2018-11-18 22:18,0.817,0.010,0,0,0,0,p
2018-11-18 22:24,0.823,0.007,0,0,0,0,p
2018-11-18 22:30,0.810,0.007,1,0,0,0,p
2018-11-18 22:36,0.827,0.007,1,0,0,0,p
2018-11-18 22:42,0.817,0.007,0,0,0,0,p
2018-11-18 22:48,0.827,0.007,1,0,0,0,p
2018-11-18 22:54,0.840,0.007,1,0,0,0,p
2018-11-18 23:00,0.846,0.033,0,0,0,0,p
2018-11-18 23:06,0.850,0.036,0,0,0,0,p
